course_name,lectures,TD,TP
COMPLEX,1,TD Room,TP Room
SYS,1,TD Room,TP Room
COMPIL,1,TD Room,TP Room
ASGBD,1,TD Room,TP Room
RES PB,1,TD Room,TP Room
MEPS,1,TD Room,TP Room
