course_name,lectures,TD,TP
AAC,1,TD Room,TP Room
SPS,1,,TP Room
GPR,1,TD Room,TP Room
BIOMATH,1,TD Room,TP Room
ANGLAIS,1,,TP Room
BIOGEN,1,TD Room,TP Room
BIOSTAT,1,TD Room,TP Room
