course_name,lectures,TD,TP
COMPLEX,1,TD Room,TP Room
SE,1,TD Room,TP Room
GP,1,TD Room,TP Room
BDA,1,TD Room,TP Room
WEB_AVANCEE,1,TD Room,TP Room
MEPS,1,TD Room,TP Room
