course_name,lectures,TD,TP
ALGO_COMPLEX,1,TD Room,TP Room
SYS,1,TD Room,TP Room
GP,1,TD Room,TP Room
ARSGBD,1,TD Room,TP Room
RES_PROTO,1,TD Room,TP Room
MEPS,1,TD Room,TP Room
