course_name,lectures,TD,TP
ALGC,1,TD Room,TP Room
SE,1,TD Room,TP Room
TAI,1,TD Room,TP Room
ABD,1,TD Room,TP Room
RP,1,TD Room,TP Room
CM,1,TD Room,TP Room
