course_name,lectures,TD,TP
ALGO,1,TD Room,TP Room
ALGEBRE,1,TD Room,
STRM,1,TD Room,
STAT,1,TD Room,
ANALYSE,1,TD Room,
OPM,1,TD Room,TP Room
ELEC,1,TD Room,TP Room


