course_name,lectures,TD,TP
ALGO,1,TD Room,TP Room
ANALYSE,1,TD Room,
STR,1,TD Room,
OPM,1,,TP Room
STAT,1,TD Room,
ELEC,1,TD Room,
ALGEBRE,1,TD Room,
