course_name,lectures,TD,TP
CALG,1,TD Room,TP Room
SYEX,1,TD Room,TP Room
ARIN,1,TD Room,TP Room
VTBD,1,TD Room,TP Room
ANGLAIS,1,,TP Room
INSI,1,TD Room,TP Room
ARMO,1,TD Room,TP Room
AJSI,1,TD Room,TP Room
