course_name,lectures,TD,TP
RES_PROTO,1,,TP Room
ARCHI_PARAL,1,TD Room,TP Room
ALGO_REPARTI,1,TD Room,TP Room
TECH_PROG,1,TD Room,TP room
BIG DATA,1,,TP Room
CALCUL_PARAL,1,TD Room,TP Room


