course_name,lectures,TD,TP
THOR,1,,TP Room
VT,1,,TP Room
GRAPHES_BIG_DATA,1,,TP Room
GP,1,TD Room,TP Room
SSAD,1,TD Room,TP Room
PRAVAN,1,,TP Room
OL,1,,TP Room
POO,1,TD Room,TP Room
BADO,1,,TP Room
CPSI,1,TD Room,TP Room
